Fecha y hora;"Departamento";"Localidad";"Jurisdiccion ";"Tipo de Siniestro";"Vehiculo";"Rol";Edad;"Sexo";Fallecido a los Dias;"Otro vehiculo";"Lugar del Siniestro";"X";"Y"
20/12/2018 21:40:00;"MALDONADO";"PLAYA GRANDE";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"BICICLETA";"CONDUCTOR";53;"M";0;"CAMIONETA";"CALLE 15 ESQ. CALLE 5";"655528.7701";"6141942.7511"
21/12/2018 02:15:00;"MALDONADO";"PINARES LAS DELICIAS";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"CONDUCTOR";19;"M";0;"OMNIBUS";"AV. FRANCIA ESQ. AVENIDA LOS 
ALPES";"686943.0587";"6132760.2929"
21/12/2018 05:30:00;"MONTEVIDEO";"MONTEVIDEO";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"BICICLETA";"CONDUCTOR";41;"M";0;"AUTO";"CAMINO CARMELO COLMAN ESQ.CAMINO MANUEL FORTET";"572277.7108";"6148435.8516"
21/12/2018 14:41:00;"CANELONES";"N/C";"NACIONAL";"ATROPELLO DE PEATÓN";"PEATÓN";"PEATÓN";15;"F";0;"AUTO";"RUTA 84 KM 1;500";"584226.37";"6152345.19"
21/12/2018 22:28:00;"COLONIA";"COLONIA DEL SACRAMENTO";"DEPARTAMENTAL";"DESPISTE";"MOTO";"CONDUCTOR";42;"M";0;;"MUNICIPIO ESQ JUSTICIA";"423249.1109";"6187469.7389"
21/12/2018 22:50:00;"MONTEVIDEO";"MONTEVIDEO";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"CONDUCTOR";21;"M";0;"AUTO";"DOCTOR EMILIO RAVIGNAN ESQ. DOCTOR LUIS BRUSCO";"581308.0315";"6141473.2019"
22/12/2018 21:12:00;"CANELONES";"LAS TOSCAS";"NACIONAL";"ATROPELLO DE PEATÓN";"PEATÓN";"PEATÓN";54;"M";0;"AUTO";"RUTA INTERBALNEARIA KM 47;600";"615133.11";"6152719.13"
23/12/2018 03:21:00;"PAYSANDU";"GUICHON";"DEPARTAMENTAL";"DESPISTE";"MOTO";"CONDUCTOR";25;"M";1;;"AVENIDA PEDRO LUIS GUICHON ESQ PROYECTADA --CERCA FLORIDA-";"480731.6353";"6419587.4546"
23/12/2018 10:00:00;"MALDONADO";"PUNTA DEL ESTE";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"CONDUCTOR";21;"F";1;"AUTO";"BULEVAR ARTIGAS FRENTE A ROTONDA DE DEVOTO";"688357.51704376";"6132249.11549517"
23/12/2018 16:28:00;"CANELONES";"CITY GOLF";"DEPARTAMENTAL";"DESPISTE";"MOTO";"CONDUCTOR";17;"M";1;;"CALLE 18 ESQ. CALLE 12";"612340.4008";"6153034.9655"
26/12/2018 10:36:00;"COLONIA";"N/C";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"BICICLETA";"CONDUCTOR";61;"M";0;"AUTO";"RUTA 21 KM 184;000";"422298.01";"6193516.47"
26/12/2018 07:10:00;"CANELONES";"JAUREGUIBERRY";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"AUTO";"PASAJERO";0;"F";1;"AUTO";"RUTA INTERBALNEARIA KM 80;000";"646050.04";"6150083.74"
26/12/2018 13:30:00;"CANELONES";"CIUDAD DE LA COSTA";"DEPARTAMENTAL";"DESPISTE";"AUTO";"CONDUCTOR";47;"M";1;;"DEL LUCERO ESQ. RAMBLA COSTANERA";"592190.535";"6142325.3486"
26/12/2018 18:25:00;"CANELONES";"CIUDAD DE LA COSTA";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"MOTO";"CONDUCTOR";30;"M";1;"CAMIONETA";"RUTA INTERBALNEARIA KM 30.500";"598588.7";"6149852.02"
