FECHA Y HORA;DEPARTAMENTO;LOCALIDAD;JURISDICCION;TIPO DE SINIESTRO;VEHICULO;ROL;EDAD;SEXO;FALLECIDO A LOS (Dias);OTRO VEHICULO;LUGAR DEL SINIESTRO;X;Y
16/01/2014 15:00;MONTEVIDEO;MONTEVIDEO;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;PASAJERO;38;F;1;AUTO;RUTA 5 esq. CAMINO LA REDENCION;567251,3036;6148838,208
16/01/2014 17:45;CANELONES;N/C;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;85;M;0;AUTO;RUTA 80 km. 82;627318,6431;6174663,157
16/01/2014 22:40;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;AUTO;PASAJERO;43;M;1;OMNIBUS;HUM esq. GENERAL MARTIN RODRIGUEZ;575467,1729;6143489,037
16/01/2014 22:40;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;AUTO;PASAJERO;40;F;5;OMNIBUS;HUM esq. GENERAL MARTIN RODRIGUEZ;575467,1729;6143489,037
18/01/2014 08:27;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;28;F;1;OMNIBUS;CAMINO REPETTO esq. CAMINO PASO DE LA ESPAÑOLA;578967,5649;6146962,909
18/01/2014 13:00;RIO NEGRO;N/C;NACIONAL;COLISION ENTRE VEHICULOS;CAMIONETA;CONDUCTOR;42;M;0;OMNIBUS;RUTA 3 km. 324;436921,0783;6384814,428
18/01/2014 16:00;FLORIDA;N/C;NACIONAL;DESPISTE;AUTO;PASAJERO;63;F;0;;RUTA 42 km. 14,200;575502,796;6270848,562
18/01/2014 19:00;COLONIA;ARTILLEROS;DEPARTAMENTAL;DESPISTE;AUTO;CONDUCTOR;37;M;0;;CALLE 13 esq. CALLE F;446892,7166;6190601,502
19/01/2014 01:15;CANELONES;N/C;NACIONAL;ATROPELLO DE ANIMALES;MOTO;CONDUCTOR;29;M;0;;RUTA 81 km. 35;589640,4734;6190277,154
19/01/2014 01:15;CANELONES;N/C;NACIONAL;ATROPELLO DE ANIMALES;MOTO;PASAJERO;21;F;0;;RUTA 81 km. 35;589640,4734;6190277,154
