Fechayhora;"Departamento";"Localidad";"Jurisdiccion ";"TipodeSiniestro";"Vehiculo";"Rol";Edad;"Sexo";FallecidoalosDias;"Otrovehiculo";"LugardelSiniestro";"X";"Y"
2019-01-22 19:45:00;"MONTEVIDEO";"MONTEVIDEO";"NACIONAL";"ATROPELLO DE PEATÓN";"PEATÓN";"PEATÓN";79;"M";0;"CAMION";"RAMBLA DOCTOR BALTASAR BRUM ESQ. SAN CARLOS";"572137.38071508";"6140487.21329316"
2019-01-22 20:36:00;"SALTO";"SALTO";"DEPARTAMENTAL";"CAÍDA";"MOTO";"CONDUCTOR";62;"M";1;;"AVENIDA GOBERNADOR DE VIANA ESQ. CORRIENTES";"409942.5595";"6525773.2123"
2019-01-27 19:49:00;"CERRO LARGO";"N/C";"NACIONAL";"DESPISTE";"AUTO";"PASAJERO";26;"F";0;;"RUTA 7 KM 365;000";"740414.49783084";"6404739.72053465"
2019-01-29 14:00:00;"MALDONADO";"MALDONADO";"DEPARTAMENTAL";"DESPISTE";"MOTO";"CONDUCTOR";21;"M";0;;"ALBERTO CARACARA ESQ. FRANCISCO PEREZ";"688420.4623";"6136368.0401"
2019-02-01 13:00:00;"COLONIA";"NUEVA HELVECIA";"DEPARTAMENTAL";"COLISIÓN ENTRE VEHÍCULOS";"BICICLETA";"CONDUCTOR";62;"M";0;"AUTO";"CAMINO DE LA TOTORA ESQ. COLOMBIA";"476308.6656";"6203912.6465"
2019-02-02 05:15:00;"MONTEVIDEO";"MONTEVIDEO";"DEPARTAMENTAL";"DESPISTE";"MOTO";"CONDUCTOR";55;"M";0;;"AMINO DE LAS TROPAS O URUGUAY CASI ESQ. ABREVADERO";"571303.5759";"6151769.9889"
2019-02-05 15:10:00;"MONTEVIDEO";"MONTEVIDEO";"DEPARTAMENTAL";"ATROPELLO DE PEATÓN";"PEATÓN";"PEATÓN";78;"F";1;"CAMION";"PASAJE MANUEL PEREZ Y CURIS ESQ. BOULEVARD APARICIO SARAVIA";"580540.0045";"6145698.0884"
2019-02-05 07:23:00;"MONTEVIDEO";"MONTEVIDEO";"NACIONAL";"ATROPELLO DE PEATÓN";"PEATÓN";"PEATÓN";82;"F";3;"CAMIONETA";"RUTA 1 KM 21;000";"559259.49";"6149739.98"
2019-02-06 12:15:00;"CANELONES";"N/C";"NACIONAL";"DESPISTE";"CAMION";"CONDUCTOR";43;"M";0;;"RUTA 11 KM 132;900";"597621.32";"6178112.3"
2019-02-07 18:54:00;"MONTEVIDEO";"MONTEVIDEO";"DEPARTAMENTAL";"DESPISTE";"MOTO";"CONDUCTOR";53;"M";0;;"BURDEOS ESQ. PASAJE ALDEA";"566884.715";"6140028.7468"
2019-02-08 16:00:00;"CANELONES";"N/C";"NACIONAL";"DESPISTE";"AUTO";"PASAJERO";0;"M";1;;"RUTA 64 KM 1;500";"570321.03";"6181858.91"
2019-02-08 20:45:00;"ROCHA";"N/C";"NACIONAL";"COLISIÓN ENTRE VEHÍCULOS";"AUTO";"CONDUCTOR";61;"M";0;"AUTO";"RUTA 9 KM 285;000";"806751.08";"6219743.51"
