FECHA Y HORA;DEPARTAMENTO;LOCALIDAD;JURISDICCION;TIPO DE SINIESTRO;VEHICULO;ROL;EDAD;SEXO;FALLECIDO A LOS (DIAS);OTRO VEHICULO;LUGAR DEL SINIESTRO;X;Y
23/01/2015 10:25;MALDONADO;N/C;NACIONAL;COLISION ENTRE VEHICULOS;AUTO;CONDUCTOR;77;F;0;CAMIONETA;RUTA INTERBALNEARIA esq. RUTA 37;661262,0015;6148677,66
24/01/2015 20:05;CERRO LARGO;N/C;NACIONAL;CAIDA;MOTO;CONDUCTOR;29;M;0;;RUTA 7 km. 328;724738,5661;6382710,59
24/01/2015 22:15;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;76;F;1;MOTO;CAMINO TOMKINSON esq. CAMINO CIBILS;566295,425;6144638,883
24/01/2015 20:15;RIO NEGRO;N/C;NACIONAL;DESPISTE;AUTO;PASAJERO;25;M;0;;RUTA 24 km. 53;404564,8211;6343604,616
25/01/2015 09:30;ARTIGAS;N/C;NACIONAL;CAIDA;MOTO;CONDUCTOR;50;M;0;;RUTA 3 km. 605;440029,1466;6635283,366
25/01/2015 06:50;CANELONES;CIUDAD DE LA COSTA;DEPARTAMENTAL;CAIDA;MOTO;CONDUCTOR;24;M;23;;Avda Giannattasio km21.200;592774,1993;6144591,478
25/01/2015 12:40;SAN JOSE;SANTA LUCIA;NACIONAL;ATROPELLO DE PEATON;PEATON;PEATON;39;M;0;CAMION;RUTA 11 km. 79;551915,5766;6188687,767
25/01/2015 19:30;CANELONES;N/C;NACIONAL;DESPISTE;AUTO;PASAJERO;42;M;0;;RUTA 7 km. 64;607526,6016;6186390,968
26/01/2015 22:25;MALDONADO;PIRIAPOLIS;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;40;F;1;MOTO;RAMBLA DE LOS ARGENTINOS esq. ARMENIA;657278,35;6140684,771
27/01/2015 12:35;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;86;F;7;AUTO;AVENIDA BRASIL esq. CORONEL ALEGRE;577131,8497;6136789,37
27/01/2015 13:55;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;AUTO;CONDUCTOR;65;M;1;AUTO;RAMBLA PRESIDENTE WILSON esq. VIA DE INTERCONEXION;575715,0046;6135250,065
27/01/2015 12:35;CANELONES;SANTA LUCIA;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;20;M;1;CAMION;GENERAL MITRE  esq. RINCON;556597,0928;6187157,227
28/01/2015 13:30;RIO NEGRO;N/C;NACIONAL;DESPISTE;CAMIONETA;CONDUCTOR;50;M;0;;RUTA 3 km. 303,500 ;450177,0963;6369218,695
28/01/2015 07:50;COLONIA;N/C;NACIONAL;DESPISTE;AUTO;CONDUCTOR;50;M;0;;RUTA 1 km. 153;445223,9316;6193470,66
29/01/2015 13:30;MALDONADO;N/C;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;44;M;5;MOTO;RUTA 37 esq. RINCON;657805,4672;6142257,59
31/01/2015 04:00;TACUAREMBO;PUEBLO DEL BARRO;NACIONAL;DESPISTE;CAMIONETA;CONDUCTOR;51;M;0;;RUTA 26 km. 303;650934,4996;6461486,958
01/02/2015 06:45;CANELONES;N/C;NACIONAL;DESPISTE;AUTO;CONDUCTOR;24;M;0;;RUTA 5 km. 328;568347,071;6168278,669
01/02/2015 14:45;LAVALLEJA;N/C;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;19;M;0;MOTO;RUTA 8 km. 168;697374,2254;6220501,238
03/02/2015 11:10;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;DESPISTE;AUTO;CONDUCTOR;82;M;1;;JOSE POSSOLO esq. GALVANI;577193,2791;6143901,006
04/02/2015 15:26;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;PASAJERO;22;M;0;MOTO;AVENIDA LUIS BATLLE BERRES esq. LOMAS DE ZAMORA;562966,8691;6147013,309
04/02/2015 19:12;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;20;M;0;OMNIBUS;AVENIDA GENERAL FLORES esq. CHIMBORAZO;576883,8851;6143207,399
04/02/2015 22:10;CANELONES;CIUDAD DE LA COSTA;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;BICICLETA;CONDUCTOR;45;M;0;CAMIONETA;AVENIDA CALCAGNO esq. MAXIMA MARRERO;590627,5757;6143675,565
05/02/2015 07:00;COLONIA;RADIAL ROSARIO;NACIONAL;ATROPELLO DE PEATON;PEATON;PEATON;73;M;0;TRACTOR;RUTA 2 km. 122,500;468673,5102;6200497,519
05/02/2015 07:15;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;BICICLETA;CONDUCTOR;44;F;0;CAMION;AMEGHINO esq. EMILIO ROMERO;570747,7465;6141571,409
05/02/2015 13:30;FLORIDA;N/C;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;45;M;1;AUTO;RUTA 76 km. 5,500;568078,4708;6207858,499
06/02/2015 07:00;PAYSANDU;N/C;NACIONAL;DESPISTE;CAMIONETA;PASAJERO;42;F;0;;RUTA 3 km. 425;419836,5898;6461276,786
06/02/2015 19:25;SAN JOSE;CIUDAD DEL PLATA;DEPARTAMENTAL;ATROPELLO DE ANIMALES;MOTO;PASAJERO;47;F;9;;BOREAL esq. MALACA;558056,3136;6152362,42
07/02/2015 10:26;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;CAIDA;MOTO;CONDUCTOR;26;M;4;;RAMBLA DOCTOR BALTASAR BRUM esq. RUTA DE ACCESO;571783,8224;6140640,381
08/02/2015 04:15;CANELONES;N/C;NACIONAL;DESPISTE;AUTO;PASAJERO;74;M;0;;RUTA 81 km 96;632582,9629;6182933,621
09/02/2015 04:00;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;41;M;1;CAMIONETA;AVENIDA MILLAN esq. AVENIDA GENERAL EUGENIO GARZON;571167,1285;6145022,219
09/02/2015 08:00;CANELONES;N/C;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;61;M;0;CAMION;RUTA 12 km. 83,400;608584,9291;6200320,79
10/02/2015 20:57;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;80;F;1;AUTO;MACIEL esq. RAMBLA REPUBLICA DE FRANCIA;572189,416;6136460,231
11/02/2015 06:31;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;32;M;1;AUTO;BOULEVARD JOSE BATLLE Y ORDO¥EZ esq. PRESIDENTE ORIBE;579314,2288;6138653,067
12/02/2015 23:45;SALTO;SALTO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;15;M;0;MOTO;AVENIDA APOLON DE MIRBEK esq. DOCTOR CHIAZZARO;407742,2437;6529386,098
12/02/2015 23:46;SALTO;SALTO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;20;F;1;MOTO;AVENIDA APOLON DE MIRBEK esq. DOCTOR CHIAZZARO;407742,2437;6529386,098
14/02/2015 06:30;SAN JOSE;SAN JOSE DE MAYO;DEPARTAMENTAL;CAIDA;MOTO;CONDUCTOR;15;M;1;;AVENIDA MANUEL J. RODRIGUEZ esq. ESPINOLA;525841,3286;6200804,931
14/02/2015 13:10;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;61;M;0;OMNIBUS;AVENIDA GENERAL EUGENIO GARZON esq. AVENIDA LEZICA;571080,0437;6148354,783
14/02/2015 19:15;CANELONES;N/C;NACIONAL;CAIDA;MOTO;CONDUCTOR;50;M;0;;RUTA 5 km. 31,900;570675,1016;6164479,535
14/02/2015 19:15;ROCHA;N/C;NACIONAL;DESPISTE;AUTO;CONDUCTOR;89;M;0;;RUTA 16 km. 17;791243,1329;6216125,208
15/02/2015 07:30;CANELONES;N/C;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;35;M;12;MOTO;RUTA 36 km. 37;559365,9658;6169117,544
15/02/2015 06:40;COLONIA;FOMENTO;NACIONAL;ATROPELLO DE PEATON;PEATON;PEATON;32;M;0;CAMIONETA;RUTA 51 km. 128;476734,8578;6190746,81
14/02/2015 20:30;COLONIA;N/C;DEPARTAMENTAL;CAIDA;MOTO;PASAJERO;45;M;1;;RUTA 61 km. 20;476141,2043;6207455,608
17/02/2015 03:35;CERRO LARGO;N/C;NACIONAL;DESPISTE;AUTO;CONDUCTOR;56;M;0;;RUTA 18 km. 10;845405,7553;6377468,112
17/02/2015 06:00;ROCHA;N/C;NACIONAL;CAIDA;MOTO;CONDUCTOR;42;M;0;;RUTA 9 km. 264,800;788307,2788;6211187,118
16/02/2015 06:00;CANELONES;HIPODROMO;DEPARTAMENTAL;DESPISTE;CAMIONETA;CONDUCTOR;65;M;2;;RUTA 65 km. 37,500;594741,5236;6159096,066
17/02/2015 16:30;FLORIDA;N/C;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;39;M;0;AUTO;RUTA 5 km. 108;569888,4002;6234232,342
16/02/2015 11:45;ROCHA;N/C;NACIONAL;CAIDA;MOTO;CONDUCTOR;51;M;2;;RUTA 15 km. 121 - curva de los palos blancos;760070,8038;6273085,984
18/02/2015 06:00;DURAZNO;N/C;NACIONAL;DESPISTE;CAMION;PASAJERO;31;F;0;;RUTA 5 km. 186;545458,9366;6307268,698
19/02/2015 06:45;FLORES;N/C;NACIONAL;COLISION ENTRE VEHICULOS;AUTO;CONDUCTOR;49;M;0;CAMION;RUTA 3 km. 242;485776,5545;6332851,63
19/02/2015 17:26;MONTEVIDEO;MONTEVIDEO;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;85;F;3;CAMIONETA;MALDONADO esq. DOCTOR BARRIOS AMORIN;574520,0101;6136726,684
21/02/2015 17:30;RIVERA;N/C;NACIONAL;DESPISTE;AUTO;PASAJERO;83;F;1;;RUTA 30 km. 242 ;598244,2876;6559649,5
21/02/2015 20:30;FLORIDA;FLORIDA;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;39;M;1;MOTO;CORALIO LACOSTA esq. GENERAL FLORES;572987,6259;6226884,568
22/02/2015 15:00;RIO NEGRO;YOUNG;DEPARTAMENTAL;CAIDA;MOTO;PASAJERO;79;M;0;;VEINTICINCO DE AGOSTO esq. DIECINUEVE DE ABRIL;441323,9263;6381718,552
