FECHA Y HORA	DEPARTAMENTO	LOCALIDAD	JURISDICCION	TIPO DE SINIESTRO	VEHICULO	ROL	EDAD	SEXO	FALLECIDO A LOS (DIAS)	OTRO VEHICULO	LUGAR DEL SINIESTRO	X	Y
23/12/2016 13:50	CANELONES	GUAZUVIRÁ	NACIONAL	COLISIÓN ENTRE VEHÍCULOS	MOTO	CONDUCTOR	23	M	0	CAMION	RUTA INTERBALNEARIA km. 58	625253,85	6153552,32
24/12/2016 04:15	SAN JOSE	SAN JOSE	NACIONAL	DESPISTE	AUTO	PASAJERO	22	M	7		RUTA 45 KM 80	541821,14	6191074,43
24/12/2016 08:48	CANELONES	CANELONES	NACIONAL	CAÍDA	MOTO	CONDUCTOR	61	M	3		RUTA 46 KM 53	558259,18	6179682,64
25/12/2016 00:15	MONTEVIDEO	MONTEVIDEO	DEPARTAMENTAL	DESPISTE	AUTO	PASAJERO	41	F	1		CAMINO DURAN esq. SAMBUCETTI	571691,9975	6148296,791
25/12/2016 15:30	MONTEVIDEO	MONTEVIDEO	NACIONAL	COLISIÓN ENTRE VEHÍCULOS	MOTO	CONDUCTOR	52	M	0	CAMIONETA	RUTA 102 PERIMETRAL esq. CESAR MAYO GUTIERREZ	571003,1442	6150576,716
25/12/2016 15:58	CANELONES	MONTES	DEPARTAMENTAL	CAÍDA	MOTO	PASAJERO	25	M	1		AVENIDA CENTENARIO esq. EL GOYO	631918,1755	6182011,644
26/12/2016 14:04	MONTEVIDEO	MONTEVIDEO	DEPARTAMENTAL	ATROPELLO DE PEATÓN	PEATÓN	PEATÓN	64	M	1	OMNIBUS	CAMINO ARIEL esq. IGNACIO RIVAS	571618,5348	6145133,324
26/12/2016 19:47	DURAZNO	LA PALOMA	DEPARTAMENTAL	COLISIÓN ENTRE VEHÍCULOS	CAMIONETA	CONDUCTOR	34	M	2	CAMIONETA	CNO. A CUCHILLA DE RAMIREZ	634036,8626	6379528,223
27/12/2016 07:00	MALDONADO	JOSÉ IGNACIO	NACIONAL	DESPISTE	AUTO	CONDUCTOR	62	F	0		RUTA 9 km. 165,500	716601,87	6152876
27/12/2016 09:44	CANELONES	COLINAS DE SOLYMAR	DEPARTAMENTAL	COLISIÓN ENTRE VEHÍCULOS	BICICLETA	CONDUCTOR	82	M	2	MOTO	AV. GIANNATTASIO esq. AV. LAGOS	595271,6225	6148122,383
29/12/2016 21:40	CANELONES	SANTA ROSA	NACIONAL	COLISIÓN ENTRE VEHÍCULOS	MOTO	CONDUCTOR	53	M	1	CAMIÓN	RUTA 11 km. 112,200	578542,4	6180553,14
31/12/2016 04:15	COLONIA	CARMELO	DEPARTAMENTAL	CAÍDA	MOTO	CONDUCTOR	20	M	8		JOSE ENRIQUE RODO Esq.HERNANDARIAS	380718,9809	6235979,307
31/12/2016 14:45	COLONIA	ISMAEL CORTINAS	NACIONAL	DESPISTE	AUTO	PASAJERO	18	M	0		RUTA 12 km. 129,000	483898,77	6244810,47
31/12/2016 21:30	SALTO	SALTO	DEPARTAMENTAL	DESPISTE	MOTO	PASAJERO	79	M	0		AVENIDA MANUEL ORIBE esq. AVENIDA CONCORDIA	413137,5862	6527105,306
