FECHA Y HORA;DEPARTAMENTO;JURISDICCION;TIPO DE SINIESTRO;VEHICULO;ROL;EDAD;SEXO;FALLECIDO A LOS (DIAS);OTRO VEHICULO;DIRECCION;X;Y
22/01/2017 21:11;MONTEVIDEO;DEPARTAMENTAL;COLISIÓN ENTRE VEHÍCULOS;AUTO;CONDUCTOR;31;M;0;OMNIBUS;AVENIDA GENERAL FLORES ESQ. GRONARDO;577472,1181;6144058,17
23/01/2017 08:20;SALTO;DEPARTAMENTAL;ATROPELLO DE PEATÓN;PEATÓN;PEATÓN;85;M;14;MOTO;AVENIDA PASCUAL HARRIAGUE ESQ. VEINTICINCO DE AGOSTO;408620,5444;6526072,428
23/01/2017 12:26;CERRO LARGO;DEPARTAMENTAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;CONDUCTOR;36;M;1;MOTO;BULEVAR MATTA Y EJIDO;766932,0337;6415691,805
24/01/2017 02:05;MALDONADO;NACIONAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;CONDUCTOR;49;M;0;AUTO;RUTA 9 KM. 129,500;685926,292;6153331,619
24/01/2017 00:30;MONTEVIDEO;DEPARTAMENTAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;CONDUCTOR;57;M;1;AUTO;CALDERON DE LA BARCA ESQ. LANUS;570619,7553;6148259,701
24/01/2017 07:05;PAYSANDU;DEPARTAMENTAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;CONDUCTOR;55;M;0;CAMION;ENRIQUE CHAPLIN ESQ. NDUSTRIAS;400523,1394;6425081,297
25/01/2017 09:40;ROCHA;NACIONAL;COLISIÓN ENTRE VEHÍCULOS;AUTO;CONDUCTOR;52;M;0;CAMIONETA;RUTA 9 KM. 223,000;760307,32;6185684,45
25/01/2017 09:40;ROCHA;NACIONAL;COLISIÓN ENTRE VEHÍCULOS;AUTO;PASAJERO;22;F;0;CAMIONETA;RUTA 9 KM. 223,000;760307,32;6185684,45
25/01/2017 09:40;ROCHA;NACIONAL;COLISIÓN ENTRE VEHÍCULOS;AUTO;PASAJERO;25;F;0;CAMIONETA;RUTA 9 KM. 223,000;760307,32;6185684,45
25/01/2017 19:20;CANELONES;NACIONAL;DESPISTE;MOTO;CONDUCTOR;35;M;0;;RUTA 64 KM. 2,000;570732,96;6182143,9
27/01/2017 03:46;SALTO;DEPARTAMENTAL;DESPISTE;MOTO;PASAJERO;26;F;0;;AVENIDA RAUL GAUDIN;448471,7611;6578192,868
27/01/2017 21:46;PAYSANDU;DEPARTAMENTAL;COLISIÓN ENTRE VEHÍCULOS;BICICLETA;CONDUCTOR;49;M;0;CAMION;CAMINO GENERAL A LA COLONIA ESQ, CALLE 243;407774,7647;6416222,037
29/01/2017 01:46;TACUAREMBO;DEPARTAMENTAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;CONDUCTOR;28;M;1;MOTO;ERNESTO MIQUELSON ESQ. SARANDI;595813,0743;6491567,848
29/01/2017 01:30;COLONIA;DEPARTAMENTAL;DESPISTE;MOTO;CONDUCTOR;20;M;0;;SARANDI ESQ. BORRAS;467478,5754;6202840,916
29/01/2017 10:20;LAVALLEJA;NACIONAL;COLISIÓN ENTRE VEHÍCULOS;MOTO;CONDUCTOR;46;M;0;AUTO;RUTA 8 KM. 214,000;707314,78;6261052,08
