Fecha y hora;Departamento;Jurisdicci®n ;Tipo de siniestro;VehÐculo;Rol;Edad;Sexo;Fallecido a los (DÐas);Otro vehÐculo;Lugar del Siniestro
24/06/2013 17:52;CANELONES;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;45;M;0;CAMION;RUTA 8 km. 35,200
25/06/2013 17:00;SAN JOSE;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;33;M;0;MAQUINARIA;RUTA 1 km. 45
26/06/2013 14:05;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;40;M;0;CAMION;AVENIDA ITALIA esq. DOCTOR ALEJANDRO GALLINAL
26/06/2013 18:30;MONTEVIDEO;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;N;M;1;AUTO;AVENIDA DOMINGO SARMIENTO esq. LUIS DE LA TORRE
27/06/2013 11:41;CANELONES;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;72;F;1;CAMION;COSTA RICA esq. ELIAS REGULES
28/06/2013 14:00;MONTEVIDEO;NACIONAL;ATROPELLO DE PEATON;PEATON;PEATON;51;F;0;MAQUINARIA;RUTA 8 esq. LOS MIRTOS
28/06/2013 17:30;MONTEVIDEO;NACIONAL;ATROPELLO DE PEATON;PEATON;PEATON;68;M;0;CAMION;RUTA 5 esq. CAMINO FRANCISCO LECOCQ
28/06/2013 21:35;MONTEVIDEO;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;20;M;0;MOTO;CAMINO REPETTO esq. DOMINGO MORA
29/06/2013 04:00;COLONIA;DEPARTAMENTAL;CAIDA;MOTO;CONDUCTOR;33;M;0;;RUTA 1 VIEJA - PTE. ARROYO LA CABALLADA
30/06/2013 02:15;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;31;M;0;CAMION;AVENIDA DE LAS INSTRUCCIONES esq. MALVAVISCO
30/06/2013 17:30;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;PASAJERO;26;F;0;AUTO;BOULEVARD JOSE BATLLE Y ORDOóEZ esq. AVENIDA BURGUES
01/07/2013 11:41;CANELONES;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;76;F;0;CAMIONETA;ROSALIA DE CASTRO esq. FLORENCIO SANCHEZ
02/07/2013 11:35;FLORIDA;NACIONAL;DESPISTE;AUTO;PASAJERO;10;M;1;;RUTA 5 km. 99 
04/07/2013 08:05;CANELONES;NACIONAL;ATROPELLO DE PEATON;PEATON;PEATON;71;F;0;AUTO;RUTA 8 km. 22,500
04/07/2013 21:30;MONTEVIDEO;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;73;F;1;AUTO;AVENIDA MILLAN esq. PANTALEON SOTELO
04/07/2013 22:40;MONTEVIDEO;DEPARTAMENTAL;CAIDA;MOTO;CONDUCTOR;18;M;0;;EMANCIPACION esq. GREGORIO MAS
05/07/2013 16:40;SALTO;DEPARTAMENTAL;CAIDA;MOTO;PASAJERO;18;M;6;;URUGUAY esq. DOCTOR F. LUCAS GAFFRE
07/07/2013 00:01;CANELONES;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;PASAJERO;17;M;0;AUTO;RUTA INTERBALNEARIA km. 68500
07/07/2013 00:01;CANELONES;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;26;M;0;AUTO;RUTA INTERBALNEARIA km. 68500
07/07/2013 21:00;MONTEVIDEO;NACIONAL;ATROPELLO DE PEATON;PEATON;PEATON;78;M;0;AUTO;RUTA DE ACCESO esq. CAMAMBU
08/07/2013 21:00;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;51;M;0;MOTO;CAMINO DEL TROPERO esq. SEBASTIAN REBELLA
08/07/2013 21:00;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;16;M;0;MOTO;CAMINO DEL TROPERO esq. SEBASTIAN REBELLA
09/07/2013 05:36;MONTEVIDEO;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;27;M;1;CAMION;RUTA DE ACCESO esq. HUMBOLDT
09/07/2013 05:36;MONTEVIDEO;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;PASAJERO;25;F;0;CAMION;RUTA DE ACCESO esq. HUMBOLDT
10/07/2013 22:00;TREINTA Y TRES;NACIONAL;DESPISTE;CAMIONETA;PASAJERO;17;M;0;;RUTA 8 km 340
11/07/2013 06:05;MALDONADO;NACIONAL;ATROPELLO DE PEATON;PEATON;PEATON;34;M;0;OMNIBUS;RUTA 9 km. 89500
11/07/2013 18:45;CERRO LARGO;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;64;M;0;CAMIONETA;RUTA 8 km 432.500
12/07/2013 19:30;MONTEVIDEO;NACIONAL;ATROPELLO DE PEATON;PEATON;PEATON;55;M;0;MOTO;DIONISIO FERNANDEZ esq. CAMINO MANGANGA
13/07/2013 19:55;CERRO LARGO;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;51;M;1;MOTO;RUTA 7 km. 298
13/07/2013 19:55;CERRO LARGO;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;47;M;5;MOTO;RUTA 7 km. 299
14/07/2013 05:15;SALTO;DEPARTAMENTAL;CAIDA;MOTO;CONDUCTOR;18;M;0;;AVENIDA APOLON DE MIRBEK esq. GRITO DE ASENCIO
14/07/2013 06:05;PAYSANDU;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;34;M;0;MOTO;ZELMAR MICHELINI esq. AVENIDA BRASIL
14/07/2013 07:30;ARTIGAS;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;AUTO;CONDUCTOR;27;M;1;AUTO;PUENTE INTERNACIONAL DE LA CONCORDIA a 400 m 18 DE JULIO
17/07/2013 16:50;CANELONES;NACIONAL;CAIDA;MOTO;CONDUCTOR;61;M;0;;RUTA 80 km. 94
17/07/2013 18:45;ROCHA;NACIONAL;COLISION ENTRE VEHICULOS;AUTO;PASAJERO;50;F;0;CAMION;RUTA 15 km. 16
18/07/2013 04:00;MONTEVIDEO;DEPARTAMENTAL;CAIDA;MOTO;CONDUCTOR;26;M;1;;CAMINO DE LA PAZ A MENDOZA esq. CAMINO CORONEL RAIZ
18/07/2013 06:30;SALTO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;19;M;0;CAMIONETA;COSTANERA NORTE frente A PARQUE INDIGENA
18/07/2013 16:35;CANELONES;NACIONAL;ATROPELLO DE PEATON;PEATON;PEATON;7;M;0;AUTO;RUTA 101 km. 25,200
20/07/2013 05:00;COLONIA;DEPARTAMENTAL;DESPISTE;AUTO;PASAJERO;30;M;0;;COLON esq. CONRADO TORRES
20/07/2013 18:30;FLORIDA;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;PASAJERO;39;F;1;CAMIONETA;RUTA 6 km. 183
21/07/2013 06:50;SAN JOSE;NACIONAL;DESPISTE;CAMIONETA;CONDUCTOR;19;M;1;;RUTA 1 km: 40
21/07/2013 06:50;SAN JOSE;NACIONAL;DESPISTE;CAMIONETA;PASAJERO;N;F;0;;RUTA 1 km: 40
21/07/2013 06:55;MALDONADO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;22;M;0;AUTO;CAMINO DE LOS GAUCHOS entre CALLES 5 y 7
21/07/2013 19:10;RIVERA;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;61;M;2;MOTO;AVENIDA BERNABE RIVERA esq. CEBALLOS
22/07/2013 06:30;COLONIA;NACIONAL;COLISION ENTRE VEHICULOS;AUTO;CONDUCTOR;44;M;0;CAMIONETA;RUTA 21 km. 207
22/07/2013 06:30;COLONIA;NACIONAL;COLISION ENTRE VEHICULOS;AUTO;CONDUCTOR;36;F;0;CAMIONETA;RUTA 21 km. 207
22/07/2013 19:52;MONTEVIDEO;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;55;F;0;CAMIONETA;AVENIDA ITALIA esq. GENERAL ANDRES A GOMEZ
24/07/2013 17:19;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;39;M;1;AUTO;DOMINGO ARAMBURU esq. DOCTOR JOAQUIN REQUENA
24/07/2013 23:50;MONTEVIDEO;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;52;M;0;AUTO;RUTA 8 esq. RUTA 102
25/07/2013 15:34;SORIANO;NACIONAL;DESPISTE;AUTO;CONDUCTOR;59;M;0;;RUTA 2 km. 276700
26/07/2013 12:15;PAYSANDU;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;88;M;0;CAMION;JUNCAL esq. GENERAL LEANDRO GOMEZ
27/07/2013 17:30;FLORIDA;DEPARTAMENTAL;CAIDA;BICICLETA;CONDUCTOR;74;M;8;;JOSE PEDRO VARELA esq. CAMINO FERRARI
28/07/2013 00:50;CANELONES;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;19;M;0;MOTO;RUTA 8 (VIEJA) KM 33
28/07/2013 07:30;FLORIDA;NACIONAL;CAIDA;MOTO;PASAJERO;38;F;8;;RUTA 7 km. 96
28/07/2013 15:35;MALDONADO;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;85;F;1;AUTO;AVENIDA ANTONIO LUSSICH senda (FRENTE A EX POLICLINICA), esq. COLIBRIES
28/07/2013 20:15;MONTEVIDEO;DEPARTAMENTAL;CAIDA;MOTO;CONDUCTOR;42;F;0;;CAMINO MANUEL MARIA FLORES esq. CAMINO ANAYA
29/07/2013 11:50;CANELONES;NACIONAL;ATROPELLO DE PEATON;PEATON;PEATON;76;M;0;AUTO;RUTA INTERBALNEARIA km. 50,1
30/07/2013 11:40;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;26;M;1;CAMION;HIPOLITO YRIGOYEN esq. DOCTOR CARLOS SALVAGNO
30/07/2013 16:40;COLONIA;NACIONAL;CAIDA;MOTO;CONDUCTOR;61;M;0;;RUTA 51 km. 122
31/07/2013 05:00;SALTO;NACIONAL;COLISION ENTRE VEHICULOS;CAMION;CONDUCTOR;54;M;0;CAMION;RUTA 3 km. 477,5 Pte. sobre Rðo Daymn
31/07/2013 05:00;SALTO;NACIONAL;COLISION ENTRE VEHICULOS;CAMION;CONDUCTOR;61;M;0;CAMION;RUTA 3 km. 477,5 Pte. sobre Rðo Daymn
31/07/2013 10:05;COLONIA;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;80;M;1;MOTO;SAN JOSE esq. CINCUENTENARIO
31/07/2013 14:43;MALDONADO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;58;F;0;MOTO;DIECIOCHO DE JULIO esq. AVENIDA JUAN ANTONIO LAVALLEJA
